05:58:47.887322 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330476:330640, ack 145, win 501, length 164
05:58:47.887408 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330640:330804, ack 145, win 501, length 164
05:58:47.887655 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330804:330968, ack 145, win 501, length 164
05:58:47.887750 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 330968:331132, ack 145, win 501, length 164
05:58:47.887883 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331132:331296, ack 145, win 501, length 164
05:58:47.888003 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331296:331460, ack 145, win 501, length 164
05:58:47.888095 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331460:331624, ack 145, win 501, length 164
05:58:47.888186 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331624:331788, ack 145, win 501, length 164
05:58:47.888288 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331788:331952, ack 145, win 501, length 164
05:58:47.888378 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 331952:332116, ack 145, win 501, length 164
05:58:47.888461 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332116:332280, ack 145, win 501, length 164
05:58:47.888548 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332280:332444, ack 145, win 501, length 164
05:58:47.888571 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 309404, win 510, length 0
05:58:47.888571 IP 99.226.233.187.65116 > 143.110.210.251.22: Flags [.], ack 320496, win 511, length 0
05:58:47.888724 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332444:332816, ack 145, win 501, length 372
05:58:47.888811 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332816:332980, ack 145, win 501, length 164
05:58:47.888893 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 332980:333144, ack 145, win 501, length 164
05:58:47.888977 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333144:333308, ack 145, win 501, length 164
05:58:47.889057 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333308:333472, ack 145, win 501, length 164
05:58:47.889137 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333472:333636, ack 145, win 501, length 164
05:58:47.889217 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333636:333800, ack 145, win 501, length 164
05:58:47.889303 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333800:333964, ack 145, win 501, length 164
05:58:47.889384 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 333964:334128, ack 145, win 501, length 164
05:58:47.889471 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334128:334292, ack 145, win 501, length 164
05:58:47.889554 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334292:334456, ack 145, win 501, length 164
05:58:47.889641 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334456:334620, ack 145, win 501, length 164
05:58:47.889723 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334620:334784, ack 145, win 501, length 164
05:58:47.889823 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334784:334948, ack 145, win 501, length 164
05:58:47.889911 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 334948:335112, ack 145, win 501, length 164
05:58:47.890007 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335112:335276, ack 145, win 501, length 164
05:58:47.890121 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335276:335440, ack 145, win 501, length 164
05:58:47.890244 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335440:335604, ack 145, win 501, length 164
05:58:47.890333 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335604:335768, ack 145, win 501, length 164
05:58:47.890420 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335768:335932, ack 145, win 501, length 164
05:58:47.890504 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 335932:336096, ack 145, win 501, length 164
05:58:47.890592 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336096:336260, ack 145, win 501, length 164
05:58:47.890674 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336260:336424, ack 145, win 501, length 164
05:58:47.890761 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336424:336588, ack 145, win 501, length 164
05:58:47.890843 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336588:336752, ack 145, win 501, length 164
05:58:47.890926 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336752:336916, ack 145, win 501, length 164
05:58:47.891013 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 336916:337080, ack 145, win 501, length 164
05:58:47.891098 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337080:337244, ack 145, win 501, length 164
05:58:47.891178 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337244:337408, ack 145, win 501, length 164
05:58:47.891258 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337408:337572, ack 145, win 501, length 164
05:58:47.891353 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337572:337736, ack 145, win 501, length 164
05:58:47.891437 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337736:337900, ack 145, win 501, length 164
05:58:47.891524 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 337900:338064, ack 145, win 501, length 164
05:58:47.891605 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338064:338228, ack 145, win 501, length 164
05:58:47.891731 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338228:338392, ack 145, win 501, length 164
05:58:47.891827 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338392:338556, ack 145, win 501, length 164
05:58:47.891916 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338556:338720, ack 145, win 501, length 164
05:58:47.891997 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338720:338884, ack 145, win 501, length 164
05:58:47.892078 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 338884:339048, ack 145, win 501, length 164
